movie_id,actor_rating
11541298,5.8
4312236,5.6
4745867,5.6
30257314,5.6
30301209,5.6
10481109,5.5
3195895,5.4
34964103,5.3
4827432,5.2
35017073,5.0
10544352,4.9
26101258,4.7
10481121,4.7
34447552,4.7
4847824,4.3
34822544,4.3
25830692,4.3
3811388,4.2
26821420,4.2
25943569,4.0
11504455,3.9
26615811,3.8
26709138,3.7
27021923,3.6
34815647,3.6
26689962,3.6
26668735,3.4
26807678,3.3
35026454,3.3
30192083,3.2
4780028,3.1
27118877,3.1
24525302,3.0
25949765,3.0
26864452,2.3
26581767,2.2
6972709,9.4
26887094,9.2
5784704,9.2
25745571,9.1
5332633,9.0
30425465,9.0
25779712,8.8
21247878,8.8
26296514,8.8
25782806,8.8
30465770,8.7
26703902,8.7
26676357,8.6
30357977,8.6
30365440,8.6
4936763,8.5
26947853,8.5
24744733,8.5
25774774,8.4
24713611,8.4
26392701,8.4
26710250,8.3
30404769,8.3
25729272,8.2
10528996,8.1
26586410,8.1
24089020,8.1
10793472,8.1
3215506,8.0
3556728,8.0
10831911,8.0
34929933,8.0
5380183,7.9
3818585,7.9
26884515,7.9
25749856,8.0
26992395,7.9
26326717,7.9
30335413,7.9
4221335,7.8
6957761,7.8
26617033,7.8
26694460,7.8
26357286,7.8
30207747,7.8
4748002,7.7
6753580,7.7
11625417,7.7
4723096,7.6
5997193,7.6
6001047,7.6
25965348,7.5
6123863,7.5
25819692,7.5
3868378,7.5
26315708,7.5
5265175,7.5
4935004,7.4
26372274,7.4
26899674,7.4
25849506,7.4
6123847,7.3
6801409,7.3
25915890,7.3
26678629,7.3
26966600,7.3
6008428,7.3
26282441,7.3
27055759,7.3
26959241,7.3
27012857,7.3
10574745,7.4
6396687,7.2
27054387,7.2
26664918,7.2
26656893,7.1
26274814,7.1
26888790,7.1
26580191,7.1
30238680,7.1
25749989,7.1
25851626,7.0
26999518,7.0
35052269,7.0
24846487,7.0
30246928,7.0
6864420,7.0
26386448,7.0
4099123,6.9
11516686,6.9
26283140,6.9
26598888,6.9
5998076,6.9
25785687,6.9
26894599,6.9
5958401,6.9
25897286,6.9
6890753,6.9
26473865,6.9
25807587,6.9
11533262,6.8
11636395,6.8
10807880,6.8
5355179,6.8
5355176,6.8
11584383,6.8
26043816,6.8
25717807,6.8
5268673,6.8
5355172,6.7
27018318,6.7
27622757,6.7
5355173,6.6
24843397,6.6
34816957,6.6
26968336,6.6
30203868,6.6
7053696,6.6
30194785,6.6
