movie_id,actor_rating,director_rating,genre_rating,language_rating,region_rating,writer_rating,date,movie_rating
6873824,7.4,7.4,6.9125284332141685,7.206705071914072,7.054653139283816,7.4,2012,7.4
5908527,7.2,7.2,7.2282267210213185,6.046030148309679,5.976582275915749,7.2,2011,7.2
35184580,7.0,7.0,6.618161434549923,7.065464904382213,7.0,7.0,2019,7.0
24754090,6.2,6.2,6.2,7.393404658040472,7.432310863994139,6.2,2013,6.2
25816252,4.4,4.4,6.926241859053887,4.4,7.054653139283816,4.4,2014,4.4
3871780,7.7,7.699999809265138,7.23432228355785,7.524999976158142,7.253428625530673,7.7,2013,7.7
10438585,7.5,7.5,7.23432228355785,7.2934378128827895,7.4165834127816,7.5,2012,7.5
25836152,7.4,8.050000071525574,7.23432228355785,7.393404658040472,7.432310863994139,8.050000071525574,2014,7.4
5258869,8.1,8.1,8.1,7.065464904382213,7.054653139283816,8.1,2010,8.1
25815000,8.0,7.766666730244953,7.409096636746794,7.393404658040472,7.432310863994139,8.0,2014,8.0
33422980,7.5,7.5,7.23432228355785,7.0709677390626995,7.225000083446503,7.5,2019,7.5
1298871,8.309225865063214,8.399999618530272,6.860064372238384,7.378060360187793,6.748863634738054,8.399999618530272,1983,8.4
1389915,8.5,8.5,7.23432228355785,6.046030148309679,5.976582275915749,8.5,1947,8.5
1578714,7.134096841761135,7.0999999046325675,6.678155523844762,7.065464904382213,6.3628083189680265,6.88749999801318,2017,7.1
1765014,6.606037398179373,6.199999809265138,7.068531007895332,7.25730872741854,7.054653139283816,6.199999809265138,2011,6.2
1793929,7.6888462415108325,7.96666669845581,7.45797835219426,7.229434781211343,7.054653139283816,7.800000071525574,2013,8.8
1819388,7.129086736476783,7.0999999046325675,6.630068258113299,7.065464904382213,7.054653139283816,6.601666641235353,2010,7.1
1858711,8.08722232359427,8.950000286102295,6.957519581338437,7.25730872741854,7.054653139283816,8.206250152985254,2010,8.8
