movie_id,director_rating
30479817,6.2
24754090,6.2
26176503,5.2
30413123,5.0
30488222,4.8
25816252,4.4
26965189,3.5
26435918,2.9
30156995,8.8
34809304,8.6
26755982,8.2
4724586,7.8
4241887,7.6
26727369,7.6
4995724,7.6
30177684,7.5
26600330,7.5
30274899,7.3
27115485,7.3
6755223,6.9
4919151,6.9
3592845,6.7
25730893,6.7
25728583,6.5
22518875,6.3
24855035,6.2
30402148,9.1
27039398,6.1
26751897,6.0
6313287,5.2
26895960,8.9
26922992,8.7
5258869,8.1
26594405,7.4
26691317,7.4
6110557,7.3
4881678,6.8
11591789,6.7
30317275,6.7
4892634,6.3
10532705,6.2
26665976,6.2
2146939,6.1
30323166,4.9
26627747,4.8
10512944,4.7
30267317,4.7
25741300,4.6
34781590,4.6
30263955,3.9
27168417,3.3
5150232,9.2
5294292,9.1
30366357,9.1
26740508,9.0
5960613,8.7
26581719,8.5
4868719,8.4
34909286,8.4
26280940,8.1
25804252,8.0
27109435,7.9
30408645,7.8
25752331,7.8
27034725,7.7
26589257,7.7
30197746,7.6
5299169,7.6
26587708,7.6
3006767,7.3
26929074,7.1
25761564,7.0
6537490,6.8
5244089,6.8
10810269,6.7
25985467,6.7
25795311,6.6
25824534,6.0
35064767,5.9
5150254,5.6
10599639,5.5
30221628,5.3
30424308,5.3
26761247,4.9
27310086,4.9
26022027,4.8
30256028,4.5
26829870,3.3
27037451,9.2
26737926,9.1
33425521,9.1
26803826,9.0
20435612,8.9
14802605,8.3
26617062,8.3
25858718,7.7
5377120,7.6
26374898,3.9
26304161,7.4
20494466,7.4
26304164,7.2
11528266,6.9
4888575,6.8
10440057,6.7
30329126,6.0
4189695,5.9
4861404,5.8
26200657,5.8
27073173,5.6
34441095,5.0
26795237,5.0
10799213,4.8
26894538,4.8
25769243,4.7
27126394,4.6
27018236,4.6
30359008,4.4
26389659,5.4
27067947,5.3
27666561,5.1
5167754,5.0
30149773,4.9
24709327,4.7
26789758,4.7
34853055,3.2
24333957,9.3
33422519,9.0
27038922,9.0
20395292,8.7
26895987,8.6
26304200,8.6
10462906,8.6
30273446,8.6
19973396,8.3
5905818,8.3
25865840,8.3
11577132,8.2
5413819,8.2
26959749,8.1
10462217,7.8
30156087,7.8
34806929,7.8
26341155,7.7
4678480,7.6
21850464,7.6
19935789,7.5
21361009,7.5
26597852,7.5
26612685,7.5
30481893,7.4
26675324,7.4
5975341,7.3
26851893,7.3
26774315,7.3
22994673,7.2
26426348,7.2
26301744,7.1
6789721,7.1
25777350,7.0
22292934,6.9
5919563,6.9
34821871,6.7
25797404,6.9
4905028,6.8
6601390,6.8
26200601,6.8
25783409,6.7
26711679,6.7
34883062,6.7
5908479,6.6
26328112,6.6
25731191,6.5
24532238,6.5
26367890,6.5
26648419,6.5
26985527,6.5
20427592,6.4
10490166,6.4
23009942,6.2
20284815,6.2
27006898,6.1
20389691,6.0
3614990,6.0
30203870,6.0
6053684,5.9
26791644,5.9
30450590,5.9
27028732,5.9
33394375,5.9
27119591,5.7
26935308,5.5
3319767,5.4
26851564,5.4
5064521,5.3
26647365,5.0
26945850,5.0
10833654,4.9
26791450,4.9
26946404,4.8
26433985,4.7
26919567,4.6
27040759,4.5
34480683,4.5
30465870,4.3
26681634,4.4
25962732,4.2
6110549,8.2
26719140,8.2
26360998,8.2
33379584,8.1
20431599,8.1
25809316,8.1
6829216,8.0
26588737,8.1
5157906,7.9
25818840,7.8
34843168,7.8
3215099,7.6
4709563,7.6
25773919,7.6
4724628,7.6
26333445,7.5
34821869,7.5
27063006,7.5
25772380,7.4
6962981,7.4
34929846,7.4
26742283,7.4
34910511,7.4
19949264,7.4
27043729,7.3
26274967,7.3
4899486,7.2
30166790,7.2
26653282,7.2
6091390,7.1
5159187,7.1
27126335,7.0
26176832,7.0
26636130,6.7
33412338,6.7
25947689,6.7
10440063,6.7
25909770,6.6
26352138,6.6
5364951,6.5
25932468,6.5
26317748,6.4
26948747,6.4
30465921,6.4
25884874,6.3
26963024,6.3
3474820,6.0
27111063,6.0
7152897,6.0
25785556,5.9
5159495,5.8
10481115,5.8
26505034,5.8
4313237,5.7
26870057,5.8
26936006,5.7
30257393,5.7
5998916,5.6
26726589,5.6
25983951,5.6
30449064,5.5
22293372,5.5
34833681,5.5
26820689,5.4
26723369,5.2
3279134,5.2
26804729,5.2
26389640,5.2
4290934,5.1
3637228,5.1
25986178,5.0
26703793,5.0
26419389,5.0
30443680,5.0
26285780,4.8
21322037,4.8
26697529,4.7
10437605,4.7
30279883,4.7
26331927,4.6
26740218,4.6
26951716,4.6
25731278,4.5
30222482,4.4
34914969,4.3
24774042,4.0
4713984,3.9
10604950,3.9
27180883,3.8
26307627,3.7
10604186,3.4
4133839,3.3
6005532,3.2
26709673,2.4
30433278,2.4
33425520,9.4
30256023,9.1
25768090,9.1
30291567,9.1
30377925,9.1
25698399,9.0
24717241,9.0
27622772,8.9
34809305,8.9
6984058,8.4
10726973,8.4
21355801,8.4
26922993,8.4
25892164,8.4
26369859,8.4
24295164,8.3
26631582,8.3
30227504,8.3
34816831,6.8
25972272,8.2
30419576,8.2
30161287,8.1
11519164,8.1
10539514,8.1
4117426,8.0
4896275,8.0
26324889,8.0
26710344,8.0
26600403,8.0
6129704,8.0
27015983,7.9
10539605,7.9
27081350,6.8
27017811,7.9
4732901,7.8
25886459,7.8
30427294,7.8
26930121,7.8
5160257,7.8
25955489,7.7
26615513,7.7
6867540,7.7
26915171,7.7
5154951,7.6
6965624,7.6
26341094,7.6
26268702,7.6
6523690,7.6
25965036,7.6
30179888,7.6
24880304,7.6
26307094,7.6
25774757,7.5
26317346,7.5
5150365,7.5
27045413,7.5
5912979,7.6
25854525,7.5
25782698,7.5
30177281,7.5
34931791,7.5
26993148,7.4
6849039,7.4
26274316,7.4
5244057,7.3
26737455,7.3
25734062,7.3
10811221,6.8
5996407,7.2
6558263,7.2
4849720,7.2
26313641,7.1
5040985,7.1
25772420,7.1
25857346,7.1
20018144,7.0
6223838,7.0
24743761,7.0
5967755,6.9
25984893,6.9
25819722,6.9
26591460,6.9
26291339,6.9
6724669,6.9
25828538,6.9
22896213,6.9
21594944,6.8
5157788,6.8
25912267,6.8
26924108,6.8
30388383,6.8
26740510,6.8
30425392,6.8
6123780,6.8
3771564,6.7
25978246,6.7
30286051,6.7
4942465,6.6
6855105,6.6
25980476,6.6
6395191,6.6
26966589,6.6
26897547,6.5
25911460,6.5
30377413,6.5
3875184,6.4
4051876,6.4
26392200,6.4
26901235,6.4
3688345,6.3
27186355,6.3
26826126,6.3
25751623,6.2
25934087,6.2
26808583,6.2
26945859,6.2
4301613,6.1
30371772,6.1
30468984,6.1
30304251,6.0
24750968,5.8
4091053,5.8
27107555,5.8
26822127,5.8
30172442,5.8
27608317,5.8
4099520,5.7
4300639,5.6
26734566,5.6
4099444,5.6
3168094,5.5
3804728,5.5
33428142,5.5
34881021,5.5
27193311,5.4
26871439,5.3
26770362,5.3
26889617,5.3
26982681,4.7
30224745,4.7
20507027,4.6
34810952,4.6
26737543,4.5
25937932,4.5
26875248,4.5
26924738,4.4
26285762,4.3
34906677,4.4
26354096,4.2
26996753,4.0
26944909,4.0
26980266,3.9
25958791,3.8
6558248,3.7
6026247,3.7
26823872,3.7
4830197,3.6
26797707,3.6
34784798,3.5
34807467,3.5
4895036,3.5
26683051,3.3
26730276,2.4
30140054,9.3
34902533,9.3
7162149,9.2
26811898,9.1
33446692,9.1
30360151,9.1
7046676,8.9
26687580,8.8
5157309,8.8
6523906,8.8
33956233,8.8
30292834,8.8
26358768,8.7
27017277,8.7
5298994,8.7
27032408,8.7
26312988,8.6
10733427,8.6
33401255,8.6
27109373,8.6
33425215,8.6
26348787,8.5
21346477,8.5
26199976,8.5
26266631,8.5
10784892,8.5
26631353,8.5
30207994,8.5
25722501,8.4
11510609,8.4
25854510,8.4
26329520,8.4
30388386,8.3
19959816,8.3
30382775,8.3
5413818,8.3
26947604,8.3
27144969,8.3
30161282,8.3
30421557,8.3
5915752,8.2
30161284,8.2
27369868,8.2
26608238,8.3
6432161,8.3
25735959,8.1
25727217,8.1
26733890,8.1
34865547,8.1
30414330,8.1
27011436,8.1
30309374,8.0
26289097,7.9
6810849,7.9
26650272,7.9
25709544,7.9
30337030,7.9
34908112,7.9
24869343,7.8
3395452,7.8
5356185,7.8
26882988,7.9
25735738,7.7
5355146,7.7
30282106,7.7
25736991,7.7
26665263,7.7
30277127,7.7
20388613,7.6
25745253,7.6
25900850,7.6
6829707,7.6
25849619,7.6
26815265,7.6
27109433,7.6
26853010,7.5
24325604,7.5
26735042,7.5
4724608,7.5
30241449,7.5
30206264,7.5
26337139,7.5
25981050,7.4
10793469,7.4
6875417,7.4
5159152,7.4
6082522,7.3
11523500,7.3
5951244,7.3
34335130,7.3
25832406,7.3
26288165,7.3
30433480,7.3
26765266,7.3
27073025,7.3
5152652,7.2
34910514,7.3
26887027,7.1
10793481,7.1
5502692,7.1
30466919,7.1
10827297,7.1
11639330,7.1
26877497,7.1
30413204,7.1
26844773,7.1
20427163,7.1
4219668,7.0
5153481,7.0
10864731,7.0
10531242,7.0
26974209,7.1
24876985,7.0
26414291,6.9
26754703,6.9
26861978,6.9
25832725,6.9
6529046,6.9
27028642,6.9
25823999,6.9
27045411,6.9
26814622,6.9
30402111,6.9
26952877,6.9
10438322,6.8
34781677,6.8
24751805,6.8
26018625,6.8
30194403,6.8
30223605,6.8
26961126,6.8
30353977,6.8
26992329,6.8
3824357,6.7
25741726,6.7
3285651,6.7
11500346,6.7
25948014,6.7
26363248,6.7
30155101,6.7
33407594,6.6
10792829,6.7
10561909,6.7
3832600,6.6
30263991,6.6
4300528,6.6
20388303,6.6
6558257,6.6
26304168,6.6
10514830,6.6
30459573,6.6
26779389,6.6
25922880,6.6
6814714,6.6
26751929,6.6
3287804,6.5
3075909,6.5
7065123,6.5
4734603,6.5
24527019,6.5
20473369,6.5
30203031,6.5
30177344,6.5
30328618,6.5
26881613,6.4
26681532,6.4
6437048,6.4
26435754,6.4
6733279,6.4
6061975,6.3
26590972,6.3
6389522,6.3
26830522,6.3
6080847,6.2
5265468,6.2
30136741,6.2
26298239,6.1
3451672,6.1
3619835,6.1
34931509,6.1
33953344,6.1
34833718,6.1
4924802,6.1
6815048,6.1
6954109,6.1
4051768,6.0
3562807,6.0
34930864,6.0
25784446,6.0
26341927,6.0
34931783,6.0
27133051,6.0
30142032,6.0
26417423,5.9
5359980,5.9
26336288,5.9
30272748,5.9
26903992,5.8
26837949,5.8
6040359,5.7
4017154,5.7
34618235,5.7
27621673,5.7
34453724,5.7
4745867,5.6
4082744,5.6
25905773,5.6
30257314,5.6
30301209,5.6
26882314,5.5
25911970,5.5
30242619,5.5
25757011,5.5
3195895,5.4
30282897,5.4
26427035,5.4
2364038,5.3
30272750,5.3
33383701,5.3
34964103,5.3
26383994,5.2
26855947,5.2
27027904,5.2
25793378,5.2
4827432,5.2
25818869,5.1
34437058,5.1
34676439,5.1
26782346,5.1
27062889,5.1
26825309,5.0
25865689,4.9
27028821,4.9
26698862,4.9
30433552,4.9
26884360,4.9
3431661,4.8
27062900,4.8
6875484,4.8
30339455,4.8
5158279,4.8
25857294,4.8
26176418,4.7
4933210,4.7
26101258,4.7
10481121,4.7
26961881,4.7
3041201,4.6
25928059,4.5
24877012,4.5
25928060,4.5
25981952,4.5
33415768,4.4
27041115,4.4
27122244,4.4
33404035,4.3
4847824,4.3
34822544,4.3
25830692,4.3
26821420,4.2
27166152,4.2
25943569,4.0
11504455,3.9
26615811,3.8
26818376,3.7
26709138,3.7
30243330,3.6
27021923,3.6
34815647,3.6
26689962,3.6
32494059,3.5
26995764,3.4
26011994,3.4
26668735,3.4
26807678,3.3
35026454,3.3
30192083,3.2
4780028,3.1
27118877,3.1
24525302,3.0
25949765,3.0
27049044,2.9
26864452,2.3
27018288,2.3
26581767,2.2
26961992,9.4
26637592,9.3
6972709,9.4
26774146,9.3
26887094,9.2
27624729,9.2
5784704,9.2
30425907,9.2
34926652,9.3
26320764,9.1
26780025,9.1
26700736,9.1
30279151,9.1
25745571,9.1
5332633,9.0
26909309,9.0
26413328,9.0
30458480,9.0
30290562,8.9
25779712,8.8
26965031,8.8
21247878,8.8
26296514,8.8
25782806,8.8
4894066,8.7
30465770,8.7
26703902,8.7
6958656,8.7
25834424,8.7
25785803,8.7
30299228,8.6
26317307,8.6
30352909,8.6
30352911,8.6
26676357,8.6
